add-none,2,100,400,206629,516,0
add-none,2,1000,4000,196883,49,0
add-none,2,10000,40000,547681,13,-3365
add-none,2,100000,400000,4078362,10,28070
add-none,4,100,800,234870,293,0
add-none,4,1000,8000,240294,30,0
add-none,4,10000,80000,1189789,14,-571
add-none,4,100000,800000,9587230,11,-42636
add-none,8,100,1600,392748,245,0
add-none,8,1000,16000,380110,23,623
add-none,8,10000,160000,2383212,14,-10691
add-none,8,100000,1600000,20118246,12,-14028
add-none,12,100,2400,483034,201,0
add-none,12,1000,24000,563243,23,-1094
add-none,12,10000,240000,3470460,14,296
add-none,12,100000,2400000,32431919,13,-10541
add-yield-none,2,10,40,246726,6168,0
add-yield-none,2,20,80,224212,2802,0
add-yield-none,2,40,160,215066,1344,10
add-yield-none,2,80,320,324297,1013,0
add-yield-none,2,100,400,317026,792,16
add-yield-none,2,1000,4000,1987376,496,0
add-yield-none,2,10000,40000,17989681,449,0
add-yield-none,2,100000,400000,177373663,443,-12153
add-yield-none,4,10,80,244961,3062,7
add-yield-none,4,20,160,256455,1602,32
add-yield-none,4,40,320,334850,1046,19
add-yield-none,4,80,640,364571,569,35
add-yield-none,4,100,800,426526,533,75
add-yield-none,4,1000,8000,2083408,260,30
add-yield-none,4,10000,80000,18683735,233,50
add-yield-none,4,100000,800000,184396546,230,-2044
add-yield-none,8,10,160,362600,2266,9
add-yield-none,8,20,320,351072,1097,19
add-yield-none,8,40,640,354122,553,93
add-yield-none,8,80,1280,488988,382,63
add-yield-none,8,100,1600,535463,334,82
add-yield-none,8,1000,16000,2369740,148,134
add-yield-none,8,10000,160000,20825417,130,29
add-yield-none,8,100000,1600000,197526616,123,111
add-yield-none,12,10,240,494597,2060,24
add-yield-none,12,20,480,511416,1065,68
add-yield-none,12,40,960,517728,539,79
add-yield-none,12,80,1920,575349,299,150
add-yield-none,12,100,2400,591271,246,188
add-yield-none,12,1000,24000,2902364,120,167
add-yield-none,12,10000,240000,24991964,104,176
add-yield-none,12,100000,2400000,258907683,107,2233
add-yield-none,2,100,400,393846,984,0
add-yield-none,2,1000,4000,2040818,510,0
add-yield-none,2,10000,40000,17284121,432,7
add-yield-none,2,100000,400000,173031312,432,0
add-yield-none,8,100,1600,515248,322,104
add-yield-none,8,1000,16000,2349305,146,99
add-yield-none,8,10000,160000,20328030,127,120
add-yield-none,8,100000,1600000,202251472,126,641
add-none,1,60,120,124339,1036,0
add-none,1,80,160,165007,1031,0
add-none,1,100,200,161380,806,0
add-none,1,1000,2000,214573,107,0
add-none,1,10000,20000,303764,15,0
add-none,1,100000,200000,1555465,7,0
add-yield-m,2,10000,40000,29259844,731,0
add-yield-m,4,10000,80000,60830737,760,0
add-yield-m,8,10000,160000,120954672,755,0
add-yield-m,12,10000,240000,183516701,764,0
add-yield-s,2,1000,4000,3512551,878,0
add-yield-s,4,1000,8000,8765098,1095,0
add-yield-s,8,1000,16000,18408137,1150,0
add-yield-s,12,1000,24000,32640184,1360,0
add-yield-c,2,10000,40000,1546094,38,0
add-yield-c,4,10000,80000,5946395,74,0
add-yield-c,8,10000,160000,11373937,71,0
add-yield-c,12,10000,240000,20019926,83,0
add-m,1,10000,20000,344659,17,0
add-m,2,10000,40000,455945,11,0
add-m,4,10000,80000,767779,9,0
add-m,8,10000,160000,1256705,7,0
add-m,12,10000,240000,1983505,8,0
add-s,1,10000,20000,315743,15,0
add-s,2,10000,40000,614493,15,0
add-s,4,10000,80000,2953107,36,0
add-s,8,1000,16000,961766,60,0
add-s,12,10000,240000,19122871,79,0
add-c,1,10000,20000,508067,25,0
add-c,2,10000,40000,1638009,40,0
add-c,4,10000,80000,6101882,76,0
add-c,8,10000,160000,12471628,77,0
add-c,12,10000,240000,18559082,77,0
