list-none-none,1,10,1,30,85329,2844
list-none-none,1,100,1,300,231755,772
list-none-none,1,1000,1,3000,6802828,2267
list-none-none,1,10000,1,30000,1101204514,36706
list-none-none,1,20000,1,60000,5743293864,95721
list-none-none,2,1,1,6,90350,15058
list-none-none,4,1,1,12,168341,14028
list-none-none,4,10,1,120,205738,1714
list-none-none,8,1,1,24,332266,13844
list-none-none,8,10,1,240,365278,1521
list-none-none,12,1,1,36,356857,9912
list-i-none,2,1,1,6,125630,20938
list-i-none,2,2,1,12,131991,10999
list-i-none,2,4,1,24,134296,5595
list-i-none,2,8,1,48,140884,2935
list-i-none,2,32,1,192,216193,1126
list-i-none,4,1,1,12,193358,16113
list-i-none,4,2,1,24,189742,7905
list-i-none,4,4,1,48,192565,4011
list-i-none,4,8,1,96,200761,2091
list-i-none,8,1,1,24,287988,11999
list-i-none,8,2,1,48,297657,6201
list-i-none,8,4,1,96,322104,3355
list-i-none,12,1,1,36,411624,11434
list-d-none,2,1,1,6,131467,21911
list-d-none,2,2,1,12,92280,7690
list-d-none,2,4,1,24,127376,5307
list-d-none,2,8,1,48,138721,2890
list-d-none,4,1,1,12,155714,12976
list-d-none,4,2,1,24,131570,5482
list-d-none,4,4,1,48,194947,4061
list-d-none,4,8,1,96,198045,2062
list-d-none,8,1,1,24,310403,12933
list-d-none,8,2,1,48,277164,5774
list-d-none,8,8,1,192,313833,1634
list-d-none,12,2,1,72,386090,5362
list-d-none,12,4,1,144,387956,2694
list-d-none,12,8,1,288,411657,1429
list-il-none,2,1,1,6,184422,30737
list-il-none,2,2,1,12,87840,7320
list-il-none,2,16,1,96,495175,5158
list-il-none,2,32,1,192,1564528,8148
list-il-none,4,1,1,12,184808,15400
list-il-none,4,4,1,48,140254,2921
list-il-none,4,8,1,96,326568,3401
list-il-none,4,16,1,192,861805,4488
list-il-none,4,32,1,384,2722171,7088
list-il-none,8,1,1,24,362724,15113
list-il-none,8,2,1,48,354574,7386
list-il-none,12,1,1,36,422781,11743
list-il-none,12,2,1,72,377748,5246
list-il-none,12,16,1,576,2325964,4038
list-dl-none,2,1,1,6,142556,23759
list-dl-none,2,2,1,12,97600,8133
list-dl-none,2,4,1,24,123940,5164
list-dl-none,2,8,1,48,219076,4564
list-dl-none,2,16,1,96,469685,4892
list-dl-none,2,32,1,192,1650870,8598
list-dl-none,4,1,1,12,144342,12028
list-dl-none,4,16,1,192,906687,4722
list-dl-none,8,16,1,384,1621842,4223
list-dl-none,12,1,1,36,430094,11947
list-dl-none,12,2,1,72,357647,4967
list-dl-none,12,4,1,144,480849,3339
list-i-m,12,32,1,1152,787436,683
list-d-m,12,32,1,1152,734926,637
list-il-m,12,32,1,1152,8326807,7228
list-dl-m,12,32,1,1152,8826605,7661
list-i-s,12,32,1,1152,1779992,1545
list-d-s,12,32,1,1152,786985,683
list-il-s,12,32,1,1152,13492625,11712
list-dl-s,12,32,1,1152,12049562,10459
list-none-m,1,1000,1,3000,7459372,2486
list-none-m,2,1000,1,6000,15648941,2608
list-none-m,4,1000,1,12000,37190007,3099
list-none-m,8,1000,1,24000,77775669,3240
list-none-m,12,1000,1,36000,121203020,3366
list-none-m,16,1000,1,48000,171294646,3568
list-none-m,24,1000,1,72000,266495316,3701
list-none-s,1,1000,1,3000,7295607,2431
list-none-s,2,1000,1,6000,15635435,2605
list-none-s,4,1000,1,12000,37988669,3165
list-none-s,8,1000,1,24000,82387666,3432
list-none-s,12,1000,1,36000,132536678,3681
list-none-s,16,1000,1,48000,226638782,4721
list-none-s,24,1000,1,72000,293939982,4082
list-none-s,1,1000,1,3000,7245293,2415
list-none-s,2,1000,1,6000,15706030,2617
list-none-s,4,1000,1,12000,37385035,3115
list-none-s,8,1000,1,24000,92794827,3866
list-none-s,12,1000,1,36000,139450657,3873
list-none-s,16,1000,1,48000,193841555,4038
list-none-s,24,1000,1,72000,289740330,4024
